Analysis,Subgroup,Coefficient,p_value,Significant
Gender: Males,Males,0.003066690708023015,0.12162048600290502,FALSE
Gender: Females,Females,0.004152605151920093,0.011257338144502676,TRUE
Gender: FemaleÃ—DiD,Female interaction,-0.011419364177959189,3.7344530497146565e-13,TRUE
Age: 18-24,18-24,7.85978539810269e-4,0.813905575220723,FALSE
Age: 25-30,25-30,0.020337678761848638,1.2316943942259253e-6,TRUE
Age: 31-39,31-39,0.005965351200453248,0.08180561860007836,FALSE
Age: 40-49,40-49,0.0061102308058024885,0.03830496362356994,TRUE
Age: 50+,50+,-0.001034873984974398,0.5591243948324032,FALSE
Agency Components,No Fear of Failure,NA,NA,NA
Agency Components,Has Skills,NA,NA,NA
Agency Components,Knows Entrepreneur,NA,NA,NA
Agency Components,Sees Opportunity,NA,NA,NA
Reform Intensity,Multiple reforms,0.0036027807373379037,NA,NA
Placebo Test,False reform year,0.008913918487736828,1.840382939088758e-11,TRUE
Spillover Effect,High agency (treated),0.02298168680918223,1.7375962360358404e-16,TRUE
