country,n_obs,n_years,mean_tea,mean_agency,sd_agency,beta_agency,se_agency,p_value,n,effect_sig,effect_size,effect_category,NECI18_10_MEAN,NECI18_10_STD,NECI1_MEAN10,NECI1_STD10,NECI2_MEAN10,NECI2_STD10,NECI3_MEAN10,NECI3_STD10
1,699,3,0.1759656652360515,0.5082260371959942,0.25182770377183633,0.09776578628516239,0.05720581166597749,0.08789526280521855,699,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,5.3726,1.50728,4.8614,1.5736,5.31,1.47
20,1177,3,0.07986406117247238,0.5435429056924383,0.27425831659306404,0.07599685265234803,0.028924394022880346,0.008715638853262528,1177,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,4.3476,1.26081,4.2909,1.39257,4.33,1.24
30,630,3,0.10158730158730159,0.42142857142857143,0.22725889330844912,0.07150940973559916,0.05269414244775929,0.17525102046060073,630,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,4.0355,1.40331,3.7726,1.54018,4.1,1.4
31,462,3,0.16233766233766234,0.4448051948051948,0.24630691956998096,0.19114227156413688,0.06917633332772034,0.005956826731474784,462,Significant,Strong (>0.15),Strong positive,NA,NA,6.0432,1.04908,6.1679,1.17419,6.04,1.05
34,4876,3,0.059680065627563575,0.47364643150123054,0.25680025818658964,0.017331346224913724,0.0131546107599568,0.18772932768787046,4876,Not Significant,Weak (0-0.05),Not significant,NA,NA,5.2429,1.06345,5.6695,1.32495,5.24,1.05
39,367,3,0.0326975476839237,0.28133514986376024,0.2507619305987535,0.09520971889213492,0.03785075913450701,0.012323318691588113,367,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,4.2973,1.22113,4.248,1.19422,4.31,1.2
41,363,3,0.1184573002754821,0.3560606060606061,0.2432325278722015,0.13231810889114068,0.06912493356616094,0.056395363271813964,363,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,6.0115,1.25414,6.1045,1.12737,6.05,1.16
44,428,3,0.08644859813084112,0.42114485981308414,0.2509986565117556,0.09539386845512061,0.054027415062458756,0.0781765422168824,428,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,4.8367000000000004,1.01409,4.6811,1.30719,4.83,0.95
46,1239,3,0.12187247780468119,0.43946731234866826,0.2669308122014851,0.18167880775923279,0.03444263403876983,1.5682375282575363e-7,1239,Significant,Strong (>0.15),Strong positive,NA,NA,4.92,1.08414,4.8197,1.37967,4.92,1.1
48,2398,3,0.0750625521267723,0.4680984153461218,0.25830755017469814,-0.07155066325726973,0.020648960956755832,5.393747134661896e-4,2398,Significant,Negative,Weak positive,NA,NA,4.1333,1.22497,4.4377,1.48429,4.24,1.21
49,664,3,0.11746987951807229,0.4246987951807229,0.23538723193457678,0.2026926514290383,0.053108908602411256,1.480988345069093e-4,664,Significant,Strong (>0.15),Strong positive,NA,NA,5.0109,1.01533,5.7413,1.18668,5.04,0.99
55,663,3,0.25339366515837103,0.4894419306184012,0.24053406563020002,0.0373925803380942,0.07034995416308586,0.5952364428325,663,Not Significant,Weak (0-0.05),Not significant,NA,NA,4.0126,1.06413,4.0587,1.2582,3.98,1.04
56,2316,3,0.3380829015544041,0.5209412780656304,0.25474702482705514,0.17030649152708693,0.037852358413744645,7.158022316945568e-6,2316,Significant,Strong (>0.15),Strong positive,NA,NA,4.6808,1.13172,5.0665,1.35299,4.61,1.11
57,750,3,0.244,0.44466666666666665,0.2627361082385111,0.09359987513413877,0.05966118208241413,0.11710639623550488,750,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,4.3414,1.04912,4.2921,1.31875,4.24,1.11
81,417,3,0.05995203836930456,0.2476019184652278,0.2312570264965001,0.14848174230695022,0.05033431888061851,0.003360375982680347,417,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,4.7067,0.98001,4.6715,1.0649,4.71,0.98
82,532,3,0.06578947368421052,0.31203007518796994,0.21514243308501924,0.16247574562081032,0.049491386925944,0.0010956928322132186,532,Significant,Strong (>0.15),Strong positive,NA,NA,5.1093,1.21396,5.3316,1.38118,5.13,1.2
86,912,3,0.11403508771929824,0.5202850877192983,0.27068585061376044,0.030294404487323293,0.039117462070153576,0.43886850091289,912,Not Significant,Weak (0-0.05),Not significant,NA,NA,5.8888,1.06265,5.7172,1.39728,5.89,1.07
91,1574,3,0.16772554002541296,0.5889453621346887,0.310519783765982,0.27302713375341864,0.029705781933232863,1.197846989465662e-19,1574,Significant,Strong (>0.15),Strong positive,NA,NA,5.8094,1.39132,5.6586,1.55646,5.8,1.38
98,1123,3,0.1219946571682992,0.43989314336598395,0.2584452126958872,0.039404299255895746,0.037704825321477016,0.2962152828503174,1123,Not Significant,Weak (0-0.05),Not significant,NA,NA,3.1547,0.89232,3.1529,0.90734,3.15,0.89
101,1871,3,0.22180652057723144,0.51309460181721,0.2679933176749704,0.24314356542331578,0.03554622150190659,1.0684135530837802e-11,1871,Significant,Strong (>0.15),Strong positive,NA,NA,5.1786,1.3925,4.9577,1.74451,5.16,1.4
212,1751,3,0.0930896630496859,0.5118503712164477,0.25974339512819045,0.09778149835992692,0.026139819356586064,1.89431066393254e-4,1751,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,3.9517,0.98026,3.8726,1.29704,3.95,0.97
261,1005,3,0.2019900497512438,0.4211442786069652,0.2648727125699161,0.26286677453489743,0.04721896954364811,3.330114868417728e-8,1005,Significant,Strong (>0.15),Strong positive,NA,NA,3.6694,0.87287,3.1825,0.86202,3.69,0.86
353,537,3,0.14152700186219738,0.41247672253258844,0.23907629285264473,0.3566728291310378,0.0605825336493252,6.961403803253182e-9,537,Significant,Strong (>0.15),Strong positive,NA,NA,4.6943,1.5219,5.0902,1.74813,4.71,1.51
357,454,2,0.12334801762114538,0.39812775330396477,0.24289419652820546,0.16480286090196827,0.06322218327852537,0.0094460457324338,454,Significant,Strong (>0.15),Strong positive,NA,NA,4.4375,1.42795,4.1824,1.58576,4.48,1.39
385,486,3,0.14814814814814814,0.5051440329218106,0.2671427276638876,0.09130825354690612,0.060938263545678356,0.13469368176396143,486,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,3.5119,1.33285,3.6323,1.49212,3.57,1.31
386,393,3,0.08651399491094147,0.4910941475826972,0.2427196539205989,-0.020883204669372567,0.05818830697950734,0.719873054629077,393,Not Significant,Negative,Not significant,NA,NA,4.4201,1.37017,4.9023,1.6609,4.49,1.32
421,387,3,0.18863049095607234,0.4502583979328165,0.26681762104870427,0.08653883253741214,0.07534201598966113,0.25143612623355527,387,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,4.0234,1.11701,3.9278,1.3978,4.03,1.12
502,1432,3,0.2520949720670391,0.4558310055865922,0.22646959478224213,0.18526000979186724,0.050162634412741276,2.2982205634572783e-4,1432,Significant,Strong (>0.15),Strong positive,NA,NA,3.6582,1.00879,3.1153,1.27554,3.56,1.09
507,696,3,0.22413793103448276,0.5028735632183908,0.2705423619366277,0.22869380389674485,0.05789884520743516,8.622426528682694e-5,696,Significant,Strong (>0.15),Strong positive,NA,NA,3.9454,1.4273,3.9713,1.59048,3.98,1.43
787,611,3,0.1783960720130933,0.4369885433715221,0.25631070706674564,0.17869332849656722,0.06007335425837048,0.0030508047360111867,611,Significant,Strong (>0.15),Strong positive,NA,NA,NA,NA,NA,NA,NA,NA
886,575,3,0.09043478260869565,0.3234782608695652,0.2359576952215214,0.1141359781330402,0.05050148988560691,0.02419526492797664,575,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,5.7519,1.52861,5.7982,1.76492,5.73,1.56
966,1623,3,0.08441158348736907,0.5097042513863216,0.2802694428003368,-0.003429007807706196,0.024982625788931154,0.8908457722916331,1623,Not Significant,Negative,Not significant,NA,NA,5.0389,1.47453,5.2474,1.84454,5.04,1.46
971,935,3,0.12620320855614972,0.4505347593582888,0.2913358669781732,0.18804798111314802,0.036815046708658324,3.952712387131036e-7,935,Significant,Strong (>0.15),Strong positive,NA,NA,5.7865,1.31423,5.8034,1.55012,5.84,1.28
972,756,3,0.12433862433862433,0.46064814814814814,0.2637397432986572,0.12372715370038362,0.045179887529596466,0.006317579597258774,756,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,4.8115,1.22413,4.5139,1.279,4.81,1.12
974,1320,3,0.12348484848484849,0.5162878787878787,0.27034335089625183,0.16993466046996566,0.03350156295872767,4.490129615026023e-7,1320,Significant,Strong (>0.15),Strong positive,NA,NA,5.8949,1.40789,5.9612,1.54596,5.91,1.39
